Date,A2H024
8/1/1976,
9/1/1976,
10/1/1976,
11/1/1976,
12/1/1976,
1/1/1977,
2/1/1977,
3/1/1977,0.055
4/1/1977,0.136
5/1/1977,0.074
6/1/1977,0.055
7/1/1977,
8/1/1977,
9/1/1977,0.027
10/1/1977,0.023
11/1/1977,0.019
12/1/1977,0.044
1/1/1978,0.07
2/1/1978,0.338
3/1/1978,0.237
4/1/1978,0.184
5/1/1978,0.105
6/1/1978,0.073
7/1/1978,0.065
8/1/1978,0.054
9/1/1978,0.039
10/1/1978,0.03
11/1/1978,0.018
12/1/1978,0.015
1/1/1979,0.011
2/1/1979,0.013
3/1/1979,0.01
4/1/1979,0.01
5/1/1979,0.008
6/1/1979,0.008
7/1/1979,0.008
8/1/1979,0.008
9/1/1979,0.009
10/1/1979,0.007
11/1/1979,0.007
12/1/1979,0.01
1/1/1980,0.008
2/1/1980,0.015
3/1/1980,0.038
4/1/1980,0.017
5/1/1980,0.013
6/1/1980,0.011
7/1/1980,0.011
8/1/1980,0.009
9/1/1980,0.007
10/1/1980,0.008
11/1/1980,0.005
12/1/1980,0.006
1/1/1981,0.011
2/1/1981,0.01
3/1/1981,0.032
4/1/1981,0.08
5/1/1981,0.033
6/1/1981,0.024
7/1/1981,0.02
8/1/1981,0.016
9/1/1981,0.014
10/1/1981,0.011
11/1/1981,0.011
12/1/1981,0.007
1/1/1982,0.007
2/1/1982,0.009
3/1/1982,0.018
4/1/1982,0.007
5/1/1982,0.006
6/1/1982,0.005
7/1/1982,0.005
8/1/1982,
9/1/1982,
10/1/1982,0.003
11/1/1982,0.004
12/1/1982,0.003
1/1/1983,0.003
2/1/1983,0.004
3/1/1983,0.002
4/1/1983,0.002
5/1/1983,0.003
6/1/1983,0.003
7/1/1983,0.003
8/1/1983,0.002
9/1/1983,0.002
10/1/1983,0.002
11/1/1983,0.005
12/1/1983,0.005
1/1/1984,0.006
2/1/1984,0.004
3/1/1984,0.002
4/1/1984,0.002
5/1/1984,0.002
6/1/1984,0.002
7/1/1984,0.002
8/1/1984,0.002
9/1/1984,0.002
10/1/1984,0.002
11/1/1984,0.003
12/1/1984,0.002
1/1/1985,0.002
2/1/1985,0.007
3/1/1985,0.003
4/1/1985,0.008
5/1/1985,0.002
6/1/1985,0.002
7/1/1985,0.002
8/1/1985,0.002
9/1/1985,0.002
10/1/1985,0.002
11/1/1985,0.004
12/1/1985,0.004
1/1/1986,0.005
2/1/1986,0.002
3/1/1986,0.002
4/1/1986,0.002
5/1/1986,0.002
6/1/1986,0.002
7/1/1986,0.002
8/1/1986,0.002
9/1/1986,0.002
10/1/1986,0.002
11/1/1986,0.005
12/1/1986,0.002
1/1/1987,0.014
2/1/1987,0.003
3/1/1987,0.003
4/1/1987,0.003
5/1/1987,0.002
6/1/1987,0.002
7/1/1987,0.002
8/1/1987,0.002
9/1/1987,0.002
10/1/1987,0.006
11/1/1987,0.003
12/1/1987,
1/1/1988,
2/1/1988,0.003
3/1/1988,0.002
4/1/1988,0.005
5/1/1988,0.004
6/1/1988,0.004
7/1/1988,0.004
8/1/1988,0.002
9/1/1988,0.002
10/1/1988,0.002
11/1/1988,0.002
12/1/1988,0.002
1/1/1989,0.004
2/1/1989,
3/1/1989,0.016
4/1/1989,0.01
5/1/1989,0.007
6/1/1989,0.005
7/1/1989,0.006
8/1/1989,0.004
9/1/1989,0.003
10/1/1989,0.003
11/1/1989,0.003
12/1/1989,0.003
1/1/1990,0.005
2/1/1990,0.002
3/1/1990,0.002
4/1/1990,0.007
5/1/1990,
6/1/1990,0.014
7/1/1990,0.007
8/1/1990,0.005
9/1/1990,0.005
10/1/1990,0.006
11/1/1990,0.093
12/1/1990,0.003
1/1/1991,0.004
2/1/1991,0.003
3/1/1991,0.005
4/1/1991,0.015
5/1/1991,0.009
6/1/1991,0.006
7/1/1991,0.005
8/1/1991,0.005
9/1/1991,0.004
10/1/1991,0.003
11/1/1991,0.003
12/1/1991,0.003
1/1/1992,0.004
2/1/1992,0.002
3/1/1992,0.002
4/1/1992,0.002
5/1/1992,0.002
6/1/1992,0.002
7/1/1992,0.002
8/1/1992,0.002
9/1/1992,0.002
10/1/1992,0.002
11/1/1992,0.002
12/1/1992,0.003
1/1/1993,0.003
2/1/1993,0.003
3/1/1993,0.002
4/1/1993,0.002
5/1/1993,0.002
6/1/1993,0.002
7/1/1993,0.002
8/1/1993,0.002
9/1/1993,0.002
10/1/1993,0.002
11/1/1993,0.004
12/1/1993,0.002
1/1/1994,0.003
2/1/1994,0.002
3/1/1994,0.002
4/1/1994,0.001
5/1/1994,0.001
6/1/1994,0
7/1/1994,0.001
8/1/1994,0.002
9/1/1994,0.002
10/1/1994,0.001
11/1/1994,0.005
12/1/1994,0.002
1/1/1995,0.002
2/1/1995,0.002
3/1/1995,0.003
4/1/1995,0.002
5/1/1995,0.002
6/1/1995,0.002
7/1/1995,0.001
8/1/1995,0.001
9/1/1995,0.002
10/1/1995,0.001
11/1/1995,0.002
12/1/1995,0.002
1/1/1996,0.003
2/1/1996,0.004
3/1/1996,0.013
4/1/1996,0.007
5/1/1996,0.01
6/1/1996,0.006
7/1/1996,0.005
8/1/1996,0.004
9/1/1996,0.004
10/1/1996,0.002
11/1/1996,0.007
12/1/1996,0.007
1/1/1997,
2/1/1997,0.004
3/1/1997,0.002
4/1/1997,0.067
5/1/1997,0.046
6/1/1997,
7/1/1997,0.068
8/1/1997,0.038
9/1/1997,0.023
10/1/1997,
11/1/1997,
12/1/1997,0.01
1/1/1998,0.022
2/1/1998,
3/1/1998,
4/1/1998,0.024
5/1/1998,0.015
6/1/1998,0.012
7/1/1998,0.011
8/1/1998,0.01
9/1/1998,0.009
10/1/1998,0.008
11/1/1998,0.009
12/1/1998,0.018
1/1/1999,0.063
2/1/1999,0.109
3/1/1999,0.125
4/1/1999,0.078
5/1/1999,0.037
6/1/1999,0.031
7/1/1999,0.029
8/1/1999,0.026
9/1/1999,0.012
10/1/1999,0.005
11/1/1999,0.004
12/1/1999,0.009
1/1/2000,0.009
2/1/2000,0.009
3/1/2000,0.055
4/1/2000,0.12
5/1/2000,0.066
6/1/2000,
7/1/2000,
8/1/2000,0.025
9/1/2000,0.02
10/1/2000,0.015
11/1/2000,0.017
12/1/2000,
1/1/2001,
2/1/2001,0.007
3/1/2001,0.008
4/1/2001,0.01
5/1/2001,0.007
6/1/2001,0.008
7/1/2001,0.007
8/1/2001,0.006
9/1/2001,0.005
10/1/2001,0.009
11/1/2001,0.011
12/1/2001,0.012
1/1/2002,0.01
2/1/2002,0.023
3/1/2002,
4/1/2002,
5/1/2002,0.007
6/1/2002,0.008
7/1/2002,0.009
8/1/2002,0.007
9/1/2002,0.007
10/1/2002,0.005
11/1/2002,0.005
12/1/2002,
1/1/2003,
2/1/2003,0.003
3/1/2003,0.004
4/1/2003,0.002
5/1/2003,0.002
6/1/2003,0.002
7/1/2003,0.002
8/1/2003,0.002
9/1/2003,0.002
10/1/2003,0.002
11/1/2003,0.002
12/1/2003,0.002
1/1/2004,0.002
2/1/2004,0.003
3/1/2004,0.003
4/1/2004,
5/1/2004,0.003
6/1/2004,0.002
7/1/2004,0.002
8/1/2004,0.002
9/1/2004,0.002
10/1/2004,0.002
11/1/2004,0.001
12/1/2004,
1/1/2005,0.002
2/1/2005,0.01
3/1/2005,0.005
4/1/2005,0.003
5/1/2005,0.003
6/1/2005,0.002
7/1/2005,0.002
8/1/2005,0.002
9/1/2005,0.002
10/1/2005,0.002
11/1/2005,
12/1/2005,0.001
1/1/2006,0.002
2/1/2006,0.002
3/1/2006,0.003
4/1/2006,0.003
5/1/2006,0.002
6/1/2006,
7/1/2006,
8/1/2006,
9/1/2006,0.002
10/1/2006,0.002
11/1/2006,0.002
12/1/2006,0.014
1/1/2007,0.001
2/1/2007,0.001
3/1/2007,0
4/1/2007,0
5/1/2007,0
6/1/2007,0
7/1/2007,0.001
8/1/2007,0.001
9/1/2007,0
10/1/2007,0
11/1/2007,0.002
12/1/2007,0
1/1/2008,0.003
2/1/2008,0.007
3/1/2008,0.01
4/1/2008,0.006
5/1/2008,0.004
6/1/2008,0.006
7/1/2008,0.011
8/1/2008,
9/1/2008,0.002
10/1/2008,0.002
11/1/2008,0.002
12/1/2008,0.002
1/1/2009,0
2/1/2009,0.003
3/1/2009,0.001
4/1/2009,0.007
5/1/2009,0.002
6/1/2009,0.002
7/1/2009,0.002
8/1/2009,0.002
9/1/2009,0.002
10/1/2009,0.001
11/1/2009,0.001
12/1/2009,0.002
1/1/2010,0.002
2/1/2010,0.007
3/1/2010,0.006
4/1/2010,0.004
5/1/2010,0.009
6/1/2010,0.018
7/1/2010,0.009
8/1/2010,0.009
9/1/2010,0.006
10/1/2010,0.005
11/1/2010,0.001
12/1/2010,
1/1/2011,0.014
2/1/2011,0.078
3/1/2011,0.034
4/1/2011,0.047
5/1/2011,0.04
6/1/2011,0.033
7/1/2011,0.039
8/1/2011,0.026
9/1/2011,0.02
10/1/2011,0.012
11/1/2011,0.012
12/1/2011,0.011
1/1/2012,0.01
2/1/2012,0.01
3/1/2012,0.01
4/1/2012,0.009
5/1/2012,0.008
6/1/2012,0.006
7/1/2012,0.006
8/1/2012,0.005
9/1/2012,0.004
10/1/2012,0.007
11/1/2012,0.004
12/1/2012,0.004
1/1/2013,0.005
2/1/2013,0.005
3/1/2013,0.004
4/1/2013,0.003
5/1/2013,0.005
6/1/2013,0.003
7/1/2013,0.003
8/1/2013,0.003
9/1/2013,0.003
10/1/2013,0.002
11/1/2013,0.002
12/1/2013,0.002
1/1/2014,0.003
2/1/2014,0.002
3/1/2014,0.008
4/1/2014,0.021
5/1/2014,0.009
6/1/2014,0.01
7/1/2014,0.013
8/1/2014,0.012
9/1/2014,0.011
10/1/2014,0.007
11/1/2014,0.003
12/1/2014,0.01
1/1/2015,0.007
2/1/2015,0.005
3/1/2015,0.004
4/1/2015,0.005
5/1/2015,0.004
6/1/2015,0.004
7/1/2015,0.004
8/1/2015,0.003
9/1/2015,0.002
10/1/2015,0.002
11/1/2015,0.002
12/1/2015,0.002
1/1/2016,0.001
2/1/2016,0.002
3/1/2016,0.004
4/1/2016,0.014
5/1/2016,0.002
6/1/2016,0.009
7/1/2016,0.004
8/1/2016,0.008
9/1/2016,
10/1/2016,
11/1/2016,
12/1/2016,0.008
1/1/2017,0.003
2/1/2017,0.009
3/1/2017,0.026
4/1/2017,0.032
5/1/2017,0.034
6/1/2017,0.016
7/1/2017,0.012
8/1/2017,0.011
9/1/2017,0.01
10/1/2017,0.009
11/1/2017,0.012
12/1/2017,0.008
1/1/2018,0.012
2/1/2018,0.007
3/1/2018,0.015
4/1/2018,0.018
5/1/2018,0.016
6/1/2018,0.013
7/1/2018,0.012
8/1/2018,0.011
9/1/2018,0.009
10/1/2018,0.008
11/1/2018,0.006
12/1/2018,0.005
1/1/2019,0.004
2/1/2019,0.009
3/1/2019,0.012
4/1/2019,0.006
5/1/2019,0.009
6/1/2019,0.006
7/1/2019,0.005
8/1/2019,
